number,control_identifier,control_name,control_text
1,AC-1,"Policy and Procedures","a. Develop, document, and disseminate to [Assignment: organization-defined personnel or roles]:
1. [Selection (one or more): Organization-level; Mission/business process-level; System-level] access control policy that:
(a) Addresses purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance; and
(b) Is consistent with applicable laws, executive orders, directives, regulations, policies, standards, and guidelines; and
2. Procedures to facilitate the implementation of the access control policy and the associated access controls;
b. Designate an [Assignment: organization-defined official] to manage the development, documentation, and dissemination of the access control policy and procedures; and
c. Review and update the current access control:
1. Policy [Assignment: organization-defined frequency] and following [Assignment: organization-defined events]; and
2. Procedures [Assignment: organization-defined frequency] and following [Assignment: organization-defined events]."
2,AC-2,"Account Management","a. Define and document the types of accounts allowed and specifically prohibited for use within the system;
b. Assign account managers;
c. Require [Assignment: organization-defined prerequisites and criteria] for group and role membership;
d. Specify:
1. Authorized users of the system;
2. Group and role membership; and
3. Access authorizations (i.e., privileges) and [Assignment: organization-defined attributes (as required)] for each account;
e. Require approvals by [Assignment: organization-defined personnel or roles] for requests to create accounts;
f. Create, enable, modify, disable, and remove accounts in accordance with [Assignment: organization-defined policy, procedures, prerequisites, and criteria];
g. Monitor the use of accounts;
h. Notify account managers and [Assignment: organization-defined personnel or roles] within:
1. [Assignment: organization-defined time period] when accounts are no longer required;
2. [Assignment: organization-defined time period] when users are terminated or transferred; and
3. [Assignment: organization-defined time period] when system usage or need-to-know changes for an individual;
i. Authorize access to the system based on:
1. A valid access authorization;
2. Intended system usage; and
3. [Assignment: organization-defined attributes (as required)];
j. Review accounts for compliance with account management requirements [Assignment: organization-defined frequency];
k. Establish and implement a process for changing shared or group account authenticators (if deployed) when individuals are removed from the group; and
l. Align account management processes with personnel termination and transfer processes."
3,AC-2(1),"Account Management | Automated System Account Management","Support the management of system accounts using [Assignment: organization-defined automated mechanisms]."
4,AC-2(2),"Account Management | Automated Temporary and Emergency Account Management","Automatically [Selection: remove; disable] temporary and emergency accounts after [Assignment: organization-defined time period for each type of account]."
5,AC-2(3),"Account Management | Disable Accounts","Disable accounts within [Assignment: organization-defined time period] when the accounts: 
(a) Have expired;
(b) Are no longer associated with a user or individual;
(c) Are in violation of organizational policy; or
(d) Have been inactive for [Assignment: organization-defined time period]."
6,AC-2(4),"Account Management | Automated Audit Actions","Automatically audit account creation, modification, enabling, disabling, and removal actions."
7,AC-2(5),"Account Management | Inactivity Logout","Require that users log out when [Assignment: organization-defined time period of expected inactivity or description of when to log out]."
8,AC-2(6),"Account Management | Dynamic Privilege Management","Implement [Assignment: organization-defined dynamic privilege management capabilities]."
9,AC-2(7),"Account Management | Privileged User Accounts",""(a) Establish and administer privileged user accounts in accordance with [Selection: a role-based access scheme; an attribute-based access scheme];
(b) Monitor privileged role or attribute assignments;
(c) Monitor changes to roles or attributes; and
(d) Revoke access when privileged role or attribute assignments are no longer appropriate.""
10,AC-2(8),"Account Management | Dynamic Account Management","Create, activate, manage, and deactivate [Assignment: organization-defined system accounts] dynamically."
11,AC-2(9),"Account Management | Restrictions on Use of Shared and Group Accounts","Only permit the use of shared and group accounts that meet [Assignment: organization-defined conditions for establishing shared and group accounts]."
12,AC-2(11),"Account Management | Usage Conditions","Enforce [Assignment: organization-defined circumstances and/or usage conditions] for  [Assignment: organization-defined system accounts]."
13,AC-2(12),"Account Management | Account Monitoring for Atypical Usage",""(a) Monitor system accounts for [Assignment: organization-defined atypical usage]; and
(b) Report atypical usage of system accounts to [Assignment: organization-defined personnel or roles].""
14,AC-2(13),"Account Management | Disable Accounts for High-risk Individuals","Disable accounts of individuals within [Assignment: organization-defined time period] of discovery of [Assignment: organization-defined significant risks]."
15,AC-3,"Access Enforcement","Enforce approved authorizations for logical access to information and system resources in accordance with applicable access control policies."
16,AC-3(1),"Access Enforcement | Restricted Access to Privileged Functions","Enforce dual authorization for [Assignment: organization-defined privileged commands and/or other organization-defined actions]."
17,AC-3(3),"Access Enforcement | Mandatory Access Control",""Enforce [Assignment: organization-defined mandatory access control policy] over the set of covered subjects and objects specified in the policy, and where the policy:
(a) Is uniformly enforced across the covered subjects and objects within the system; 
(b) Specifies that a subject that has been granted access to information is constrained from doing any of the following;
(1) Passing the information to unauthorized subjects or objects;
(2) Granting its privileges to other subjects; 
(3) Changing one or more security attributes (specified by the policy) on subjects, objects, the system, or system components;
(4) Choosing the security attributes and attribute values (specified by the policy) to be associated with newly created or modified objects; and
(5) Changing the rules governing access control; and
(c) Specifies that [Assignment: organization-defined subjects] may explicitly be granted [Assignment: organization-defined privileges] such that they are not limited by any defined subset (or all) of the above constraints.""
